SKU	BIOS	IPMI Firmware
X9SRW-F	R 3.2a	R 3.39
X9SRL-F	R 3.2	R 3.19
X9SRL	R 3.2	
X9SRH-7F	R 3.2	R 3.29
X9SRH-7TF	R 3.2	R 3.29
X9SRG-F	R 3.2	R 3.19
X9SRE-3F	R 3.2a	R 3.19
X9SRE-F	R 3.2a	R 3.19
X9SRI-3F	R 3.2a	R 3.19
X9SRI-F	R 3.2a	R 3.19
X9SRE	R 3.2a	
X9SRI	R 3.2a	
X9SRD-F	R 3.2a	R 3.19
X9SRA	R 3.2	
X9SPV-M4	R 2.1a	
X9SPV-M4-3QE	R 2.1a	
X9SPV-M4-3UE	R 2.1a	
X9SPV-F	R 2.0b	R 4.52
X9SPV-F-3217UE	R 2.0b	R 4.52
X9SPV-F-3610ME	R 2.0b	R 4.52
X9SPV-LN4F	R 2.0b	R 4.52
X9SPV-LN4F-3LE	R 2.0b	R 4.52
X9SPV-LN4F-3QE	R 2.0b	R 4.52
X9SPU-F	R 2.0b	R 3.38
X9SKV-1105	R 2.0b	
X9SKV-1125	R 2.0b	
X9SKV-B915	R 2.0b	
X9SCV-QV4	R 2.0b	
X9SCV-Q	R 1.1b	
X9SCM-IIF	R 2.2	R 3.38
X9SCL	R 2.2	
X9SCL+-F	R 2.2	R 3.52
X9SCL-F	R 2.2	R 3.52
X9SCM	R 2.2	
X9SCM-F	R 2.2	R 3.52
X9SCFF-F	R 2.0b	R 3.31
X9SCE-F	R 2.2	R 3.19
X9SCD+-F	R 2.2	R 3.19
X9SCD+-HF	R 2.2	R 3.19
X9SCD-F	R 2.2	R 3.19
X9SCAA	R 1.0	
X9SCAA-L	R 1.0	
X9SCA	R 2.2	R 3.38
X9SCA-F	R 2.2	R 3.38
X9SCI-LN4F	R 2.2	R 3.38
X9SCI-LN4	R 2.2	
X9SBAA-F	R 1.1	R 3.39
X9SBAA	R 1.1	
X9SAE	R 2.2c	
X9SAE-V	R 2.2c	
X9QR7-TF-JBOD	R 3.0a	R 3.20
X9QRI-F	R 3.0a	R 3.20
X9QR7-TF+	R 3.0b	R 3.20
X9QRI-F+	R 3.0b	R 3.20
X9DRX+-F	R3.2	R 3.19
X9DRW-CF31	R 3.2a	R 3.39
X9DRW-CTF31	R 3.2a	R 3.39
X9DRW-7TPF	R 3.2	R 3.50
X9DRW-ITPF	R 3.2	R 3.50
X9DRW-7TPF+	R 3.2	R 3.39
X9DRW-ITPF+	R 3.2	R 3.39
X9DRW-3LN4F+	R 3.2b	R 3.53
X9DRW-3TF+	R 3.2b	R 3.53
X9DRW-3F	R 3.2	R 2.59
X9DRW-IF	R 3.2	R 2.59
X9DRT-P	R 3.2	R 3.53
X9DRT-PIBF	R 3.2	R 3.53
X9DRT-PT	R 3.2	R 3.53
X9DRT-PIBQ	R 3.2	
X9DRT-HF	R 3.2a	R 3.52
X9DRT-HIBFF	R 3.2a	R 3.52
X9DRT-HIBQF	R 3.2a	R 3.52
X9DRT-HF+	R 3.2	R 3.50
X9DRT-F	R 3.2	R 3.36
X9DRT-IBFF	R 3.2	R 3.36
X9DRT-IBQF	R 3.2	R 3.36
X9DRL-7F	R 3.2	R 3.40
X9DRL-EF	R 3.2	R 3.40
X9DRL-3F	R 3.2	R 3.39
X9DRL-IF	R 3.2	R 3.39
X9DRH-IF-NV	R 3.2a	R 3.39
X9DRH-7F	R 3.2a	R 3.40
X9DRH-7TF	R 3.2a	R 3.40
X9DRH-IF	R 3.2a	R 3.40
X9DRH-ITF	R 3.2a	R 3.40
X9DRG-QF	R 3.2	R 2.74
X9DRG-O-PCIE	R 3.2	R 3.40
X9DRG-OF-CPU	R 3.2	R 3.40
X9DRG-OTF-CPU	R 3.2	R 3.40
X9DRG-HF-CLG	R 3.0c	R 3.31
X9DRG-HF	R 3.2	R 3.51
X9DRG-HTF	R 3.2	R 3.51
X9DRG-HF+II	R 3.2	R 3.40
X9DRG-HTF+II	R 3.2	R 3.40
X9DRG-HF+	R 3.2	R 3.40
X9DRG-HTF+	R 3.2	R 3.40
X9DRFR	R 3.2	R 3.44
X9DRFF-7G+	R 3.2	R 3.44
X9DRFF-7TG+	R 3.2	R 3.44
X9DRFF-IG+	R 3.2	R 3.44
X9DRFF-ITG+	R 3.2	R 3.44
X9DRFF-7+	R 3.2a	R 3.44
X9DRFF-7T+	R 3.2a	R 3.44
X9DRFF-I+	R 3.2a	R 3.44
X9DRFF-IT+	R 3.2a	R 3.44
X9DRFF	R 3.2	R 3.39
X9DRFF-7	R 3.2	R 3.39
X9DRD-LF	R 3.2	R 3.39
X9DRD-IF	R 3.2	R 3.39
X9DRD-CNT+	R 3.2	R 3.39
X9DRD-CT+	R 3.2	R 3.39
X9DRD-IT+	R 3.2	R 3.39
X9DRD-7LN4F-SSG	R 3.2	R 3.39
X9DRD-7LN4F	R 3.2	R 3.39
X9DRD-EF	R 3.2	R 3.39
X9DRD-7JLN4F	R 3.2	R 3.39
X9DRD-7LN4F-JBOD	R 3.2	R 3.39
X9DR7-TF+	R 3.2	R 3.39
X9DRE-TF+	R 3.2	R 3.39
X9DR7-LN4F	R 3.2	R 3.39
X9DRE-LN4F	R 3.2	R 3.39
X9DR7-JLN4F	R 3.2	R 3.39
X9DR7-LN4F-JBOD	R 3.2	R 3.39
X9DR3-LN4F+	R 3.2	R 3.48
X9DRI-LN4F+	R 3.2	R 3.48
X9DR3-F	R 3.2a	R 3.48
X9DRI-F	R 3.2a	R 3.48
X9DBU-3F	R 3.2	R 3.39
X9DBU-IF	R 3.2	R 3.39
X9DBS-F-2U	R 3.2a	R 2.41
X9DBS-F	R 3.2a	R 2.41
X9DBL-3F	R 3.2	R 3.36
X9DBL-IF	R 3.2	R 3.36
X9DBL-3	R 3.2	
X9DBL-I	R 3.2	
X9DB3-F	R 3.2	R 4.06
X9DB3-TPF	R 3.2	R 4.06
X9DBI-F	R 3.2	R 4.06
X9DBI-TPF	R 3.2	R 4.06
X9DAX-7F-HFT	R 3.2	R 3.39
X9DAX-IF-HFT	R 3.2	R 3.39
X9DAX-7F	R 3.2a	R 3.39
X9DAX-7TF	R 3.2a	R 3.39
X9DAX-IF	R 3.2a	R 3.39
X9DAX-ITF	R 3.2a	R 3.39
X9DAL-3	R 3.0	
X9DAL-I	R 3.0	
X9DAI	R 3.2	
X9DA7	R 3.2	
X9DAE	R 3.2	
X11SSZ-TLN4F	R 2.0b	R 1.41
X11SSZ-QF	R 2.0b	R 1.41
